customer_id,transaction_date,product_used,transaction_amount,customer_tenure,transaction_frequency
1200,2024-05-24,Current Account,64390.56,5,21
1945,2024-11-15,Mortgage Loan,21786.43,9,31
1205,2023-05-22,Savings Account,72738.6,4,10
1708,2025-01-23,Fixed Deposit,80983.47,1,12
1863,2023-03-03,Credit Card,19530.29,2,3
1819,2023-06-25,Mortgage Loan,68218.2,5,26
1782,2023-08-14,Credit Card,81715.18,4,26
1845,2023-03-27,Fixed Deposit,5466.9,6,18
1005,2024-05-19,Mutual Fund,64543.63,1,24
1186,2024-05-12,Fixed Deposit,81949.89,14,18
1821,2023-06-07,Fixed Deposit,62487.84,1,29
1630,2024-09-20,Mutual Fund,98341.99,7,32
1593,2023-04-18,Credit Card,26289.08,2,11
1012,2024-07-10,Personal Loan,73725.28,6,16
1841,2023-03-11,Mortgage Loan,92637.04,14,36
1712,2024-12-01,Car Loan,20305.19,4,1
1542,2024-02-12,Savings Account,48999.91,7,13
1348,2023-11-28,Car Loan,45541.97,13,31
1760,2023-07-09,Mutual Fund,27897.31,8,39
1098,2024-03-03,Personal Loan,41695.67,10,6
1365,2024-08-15,Mortgage Loan,29505.96,8,31
1236,2023-10-24,Personal Loan,13256.56,4,7
1723,2024-09-29,Savings Account,37212.62,12,33
1054,2024-11-11,Personal Loan,30617.38,10,48
1724,2024-03-14,Current Account,76493.13,3,24
1396,2023-05-08,Fixed Deposit,2120.38,10,36
1403,2024-05-10,Credit Card,38308.62,1,27
1468,2023-08-23,Savings Account,50736.01,7,12
1787,2024-06-16,Fixed Deposit,76523.47,5,14
1808,2023-09-06,Fixed Deposit,76966.32,8,43
1333,2024-05-28,Car Loan,18717.45,2,26
1274,2025-01-02,Current Account,10673.53,9,31
1570,2024-01-05,Mortgage Loan,78975.94,8,2
1389,2023-08-26,Mortgage Loan,53693.9,10,45
1850,2023-03-27,Mortgage Loan,25539.4,7,37
1492,2024-01-20,Credit Card,71350.19,9,29
1819,2023-07-18,Mortgage Loan,96377.68,5,7
1921,2023-10-11,Personal Loan,14412.41,4,17
1383,2023-04-07,Personal Loan,51774.77,12,47
1832,2024-07-13,Current Account,44012.86,14,23
1239,2023-11-09,Mutual Fund,68840.4,12,21
1999,2023-09-15,Mutual Fund,34850.89,2,27
1888,2024-08-30,Savings Account,53273.12,14,22
1379,2023-10-27,Current Account,85974.5,5,1
1831,2024-08-17,Car Loan,3888.21,13,7
1390,2024-09-03,Current Account,72519.95,11,41
1064,2023-08-04,Car Loan,56253.42,4,4
1558,2025-01-03,Current Account,99481.46,1,24
1352,2023-11-17,Credit Card,81963.14,9,27
1410,2024-08-17,Mortgage Loan,79887.79,12,25
1929,2024-01-04,Personal Loan,37500.96,7,19
1572,2024-02-22,Car Loan,74433.87,3,14
1313,2023-12-22,Mutual Fund,90938.19,7,43
1692,2023-04-16,Credit Card,50867.03,12,29
1259,2024-03-17,Fixed Deposit,64365.71,12,41
1920,2023-10-14,Savings Account,38250.94,2,5
1794,2024-06-15,Personal Loan,18308.99,7,38
1784,2024-07-29,Savings Account,45837.27,10,22
1675,2023-07-23,Current Account,93601.09,12,46
1972,2024-08-09,Savings Account,49325.78,8,14
1715,2023-12-16,Savings Account,39504.27,2,10
1214,2023-08-27,Personal Loan,57305.98,2,43
1289,2023-11-17,Personal Loan,49144.77,11,1
1450,2023-06-23,Current Account,17487.34,14,29
1700,2024-07-21,Savings Account,90873.03,10,8
1691,2024-02-17,Mutual Fund,14435.46,6,43
1206,2024-07-01,Car Loan,37080.31,14,17
1641,2024-05-20,Personal Loan,91013.14,13,20
1346,2024-04-26,Mortgage Loan,28391.6,10,2
1707,2024-06-17,Fixed Deposit,38879.3,6,18
1850,2023-11-20,Car Loan,36845.89,4,14
1549,2023-05-01,Mortgage Loan,23430.64,12,1
1104,2025-02-03,Savings Account,57297.88,5,4
1786,2024-03-21,Personal Loan,1023.29,9,15
1996,2023-05-06,Savings Account,9450.72,6,27
1465,2023-02-20,Car Loan,67399.86,13,17
1079,2024-03-17,Mutual Fund,56642.45,10,25
1492,2024-08-04,Mutual Fund,584.83,13,16
1537,2024-01-15,Savings Account,45129.72,8,9
1781,2024-04-11,Mortgage Loan,52636.75,2,34
1497,2023-03-26,Mortgage Loan,74675.57,4,44
1319,2025-02-02,Current Account,26133.3,12,28
1872,2024-09-30,Current Account,18086.52,2,25
1933,2023-11-24,Current Account,78394.49,5,45
1353,2024-12-28,Mutual Fund,47311.05,11,18
1810,2024-07-23,Savings Account,17819.7,1,17
1337,2024-02-28,Credit Card,18415.85,14,39
1963,2023-12-18,Mutual Fund,36908.23,6,11
1724,2023-06-25,Personal Loan,76145.53,2,32
1059,2023-05-27,Mortgage Loan,40788.93,4,44
1690,2024-08-15,Car Loan,19438.58,2,8
1596,2024-05-23,Mutual Fund,79028.71,1,49
1921,2023-09-19,Fixed Deposit,50372.51,14,49
1754,2024-05-06,Savings Account,27892.56,9,29
1138,2024-09-25,Savings Account,54213.05,11,13
1771,2023-09-28,Car Loan,22467.19,13,20
1665,2025-01-27,Savings Account,83890.31,7,29
1029,2023-04-04,Credit Card,73338.07,11,20
1060,2024-03-23,Credit Card,43904.92,1,32
1581,2023-03-15,Personal Loan,87590.99,9,40
1577,2024-07-11,Savings Account,5981.09,6,11
1125,2023-11-23,Mortgage Loan,69389.5,1,31
1330,2023-12-18,Personal Loan,60107.54,8,48
1820,2024-12-02,Current Account,8772.05,4,26
1161,2024-08-05,Fixed Deposit,6836.08,10,21
1791,2024-08-18,Fixed Deposit,9740.03,9,45
1823,2024-06-20,Credit Card,43958.13,5,11
1845,2024-09-29,Personal Loan,67807.17,5,4
1361,2024-05-09,Mortgage Loan,31631.01,5,2
1269,2024-10-29,Fixed Deposit,46844.01,10,15
1305,2023-03-01,Mutual Fund,23824.41,13,31
1694,2023-08-15,Mortgage Loan,2123.45,3,22
1074,2023-10-09,Mortgage Loan,24052.69,9,24
1462,2024-05-03,Credit Card,89980.71,3,2
1347,2023-02-27,Mutual Fund,98061.77,8,41
1979,2023-04-28,Mutual Fund,6514.33,2,49
1646,2024-03-11,Fixed Deposit,86371.19,6,40
1891,2023-11-03,Mutual Fund,43948.29,8,27
1963,2024-07-04,Car Loan,4092.97,3,3
1666,2023-10-22,Current Account,48672.03,10,7
1574,2023-06-23,Credit Card,60093.86,4,29
1362,2025-01-23,Car Loan,46926.98,2,47
1229,2024-08-14,Current Account,43295.34,5,38
1628,2025-01-04,Fixed Deposit,66793.3,6,26
1485,2023-11-15,Personal Loan,94393.58,14,39
1520,2023-09-13,Personal Loan,62648.72,2,19
1389,2024-12-01,Mutual Fund,4448.96,14,26
1671,2023-05-17,Personal Loan,81498.92,6,21
1421,2024-08-17,Mortgage Loan,88441.09,6,9
1125,2023-04-17,Car Loan,6038.57,14,37
1504,2023-10-15,Personal Loan,86676.9,7,35
1912,2023-12-08,Mutual Fund,46125.65,5,24
1332,2024-04-07,Credit Card,1512.05,8,24
1737,2024-11-16,Savings Account,25522.31,11,5
1686,2023-08-08,Credit Card,6703.84,6,40
1397,2024-06-11,Personal Loan,26468.43,8,41
1456,2024-04-12,Mortgage Loan,92581.28,12,6
1525,2024-10-28,Fixed Deposit,80488.09,3,44
1510,2023-12-27,Current Account,83079.31,6,4
1129,2023-08-31,Mortgage Loan,78580.82,5,20
1570,2023-11-05,Fixed Deposit,57735.27,7,25
1446,2024-06-28,Personal Loan,3460.78,7,32
1938,2023-11-26,Credit Card,52852.28,12,28
1298,2024-09-09,Credit Card,86270.2,12,44
1404,2024-06-24,Personal Loan,16710.73,11,18
1330,2024-07-02,Current Account,56862.54,3,34
1102,2025-02-05,Mortgage Loan,72134.09,7,32
1105,2024-08-04,Mortgage Loan,26582.52,2,47
1384,2024-04-22,Current Account,52965.62,13,46
1203,2023-09-15,Mortgage Loan,56201.31,1,46
1737,2025-01-27,Savings Account,90482.9,6,2
1582,2024-07-26,Mutual Fund,28996.19,1,40
1044,2024-01-26,Fixed Deposit,22995.98,4,3
1603,2024-03-09,Fixed Deposit,61057.65,2,21
1510,2024-02-14,Personal Loan,59395.08,10,12
1676,2023-10-04,Savings Account,90723.44,9,31
1984,2024-06-28,Credit Card,24116.86,14,48
1038,2023-10-28,Savings Account,78343.95,12,29
1670,2024-02-09,Fixed Deposit,61776.4,3,14
1474,2024-10-18,Current Account,40790.23,1,16
1719,2024-12-22,Current Account,52289.11,7,7
1834,2023-12-20,Credit Card,28743.08,13,38
1057,2024-09-11,Personal Loan,67765.36,9,13
1941,2024-02-13,Current Account,91518.8,9,21
1680,2024-03-15,Personal Loan,60732.3,2,10
1015,2023-03-02,Mutual Fund,17573.94,8,18
1374,2024-06-16,Fixed Deposit,80684.93,1,9
1353,2023-05-04,Personal Loan,70379.4,9,34
1070,2023-10-16,Car Loan,11873.1,12,21
1847,2023-12-25,Fixed Deposit,2349.84,2,8
1047,2024-08-12,Personal Loan,5618.85,7,11
1655,2024-03-08,Mortgage Loan,45998.37,9,28
1293,2023-07-14,Mortgage Loan,12616.3,1,13
1565,2023-09-22,Current Account,5709.19,4,34
1713,2024-03-11,Mortgage Loan,17015.94,12,24
1107,2024-06-08,Current Account,45995.0,4,34
1406,2024-03-13,Current Account,12202.93,12,43
1493,2023-07-07,Savings Account,29937.57,7,43
1320,2024-02-19,Mortgage Loan,70097.05,10,23
1237,2024-06-01,Credit Card,76209.06,13,44
1630,2024-10-23,Mortgage Loan,58065.61,6,22
1564,2023-09-23,Car Loan,58805.91,4,41
1753,2023-12-04,Credit Card,73241.8,2,48
1237,2023-09-05,Car Loan,31865.57,11,22
1591,2023-12-21,Savings Account,66079.37,9,20
1558,2023-09-25,Mortgage Loan,39633.69,1,14
1901,2023-02-25,Personal Loan,24623.96,11,37
1796,2023-03-16,Credit Card,25616.82,3,10
1872,2024-03-06,Car Loan,20837.15,12,6
1028,2024-11-09,Credit Card,1590.5,9,36
1841,2024-03-05,Mutual Fund,81001.75,9,15
1617,2023-10-17,Credit Card,36576.52,10,33
1807,2024-11-26,Fixed Deposit,60967.27,2,19
1079,2024-11-16,Personal Loan,68933.59,14,22
1047,2023-06-15,Credit Card,4894.51,1,19
1900,2023-08-31,Mutual Fund,82728.49,8,5
1117,2024-12-02,Personal Loan,56338.21,3,7
1746,2023-10-22,Mutual Fund,55045.76,6,28
1843,2024-12-20,Fixed Deposit,25930.93,5,1
1153,2023-06-06,Fixed Deposit,94612.7,8,10
1904,2024-03-18,Mutual Fund,4812.46,1,31
1585,2024-03-21,Credit Card,12772.33,10,17
1590,2023-03-27,Fixed Deposit,77697.48,14,13
1861,2024-02-09,Fixed Deposit,44980.21,6,4
1499,2024-08-23,Credit Card,89985.46,5,3
1192,2023-11-15,Savings Account,21263.69,3,43
1623,2024-01-09,Current Account,2146.67,6,17
1510,2023-05-20,Mutual Fund,86616.86,13,10
1767,2023-05-11,Credit Card,26694.93,2,36
1194,2024-10-02,Fixed Deposit,77021.37,10,35
1508,2024-06-19,Savings Account,51966.17,7,6
1286,2024-02-22,Fixed Deposit,7269.89,9,7
1713,2023-12-03,Mortgage Loan,11152.97,10,45
1912,2023-02-28,Savings Account,30259.4,5,42
1978,2024-07-28,Current Account,82809.56,11,19
1354,2024-11-10,Personal Loan,94772.53,4,20
1358,2023-05-15,Credit Card,67099.7,11,42
1505,2024-06-08,Savings Account,24884.07,13,44
1635,2024-07-24,Savings Account,69737.23,9,27
1729,2024-07-25,Credit Card,46076.02,13,7
1507,2023-10-09,Personal Loan,9165.41,9,34
1164,2023-08-09,Personal Loan,56258.81,6,45
1469,2024-02-12,Personal Loan,62108.5,7,43
1747,2024-07-27,Personal Loan,24856.16,14,20
1338,2023-06-11,Savings Account,99027.3,3,47
1078,2024-02-26,Personal Loan,91921.96,14,35
1361,2023-05-11,Fixed Deposit,84956.3,4,38
1596,2024-02-14,Mortgage Loan,12961.96,13,16
1000,2024-07-06,Car Loan,19105.84,8,4
1366,2023-08-09,Credit Card,51515.31,10,23
1012,2023-04-24,Fixed Deposit,88411.92,12,23
1561,2024-06-09,Current Account,74559.16,12,7
1153,2024-09-27,Mutual Fund,13603.71,9,16
1019,2023-04-18,Current Account,8303.6,14,5
1313,2023-09-27,Fixed Deposit,94532.0,14,4
1882,2024-09-21,Car Loan,43887.79,12,37
1943,2024-02-05,Mutual Fund,10900.29,8,15
1759,2024-01-05,Car Loan,48675.94,1,27
1983,2024-10-23,Mutual Fund,77786.57,13,24
1167,2023-08-06,Personal Loan,66718.86,5,21
1042,2023-12-17,Mutual Fund,16656.81,3,23
1986,2024-09-11,Mutual Fund,92114.97,4,18
1090,2023-12-23,Fixed Deposit,19815.88,7,43
1461,2024-03-19,Credit Card,10383.07,13,20
1166,2023-04-27,Credit Card,84775.5,9,39
1620,2024-06-27,Credit Card,50576.48,10,26
1310,2023-05-29,Mutual Fund,77763.52,12,20
1904,2023-11-01,Mutual Fund,93718.95,5,15
1975,2023-12-02,Current Account,56962.34,4,31
1199,2025-02-10,Personal Loan,51979.72,14,21
1435,2023-07-20,Fixed Deposit,34007.94,2,8
1915,2024-03-01,Mortgage Loan,32653.66,3,28
1217,2023-02-26,Personal Loan,4025.25,10,35
1024,2024-01-27,Credit Card,1913.12,14,25
1564,2024-08-27,Credit Card,79702.09,12,22
1056,2023-06-08,Mutual Fund,19844.89,10,19
1027,2024-10-09,Credit Card,2245.17,8,19
1523,2024-08-21,Mutual Fund,19921.79,8,45
1841,2024-11-28,Personal Loan,12381.98,14,19
1011,2024-01-04,Fixed Deposit,14131.8,7,25
1073,2024-06-11,Mutual Fund,63472.87,7,12
1639,2024-06-24,Car Loan,94487.61,7,46
1646,2024-08-14,Mortgage Loan,2235.97,3,24
1937,2023-07-22,Mortgage Loan,35028.02,1,18
1780,2023-03-17,Fixed Deposit,11194.95,1,37
1050,2024-05-29,Credit Card,21568.73,3,16
1525,2024-09-05,Fixed Deposit,8513.6,4,21
1747,2023-03-06,Car Loan,18424.25,1,20
1480,2023-05-03,Current Account,99977.3,6,37
1180,2024-08-08,Personal Loan,31117.24,1,16
1846,2025-02-03,Savings Account,52087.8,14,8
1439,2024-08-06,Mortgage Loan,41276.45,4,48
1039,2023-06-10,Personal Loan,31407.1,1,4
1757,2024-07-28,Mutual Fund,73611.48,7,18
1463,2024-11-25,Personal Loan,61512.92,13,30
1288,2024-06-11,Mortgage Loan,43567.13,4,49
1538,2024-05-26,Personal Loan,53822.1,3,49
1779,2024-08-06,Current Account,96476.92,13,37
1440,2024-04-10,Mortgage Loan,16526.7,10,10
1469,2024-12-31,Credit Card,31214.47,12,22
1419,2024-12-10,Credit Card,44316.06,5,3
1650,2024-04-07,Personal Loan,70034.68,13,2
1190,2023-10-05,Savings Account,61961.66,13,42
1540,2024-02-23,Personal Loan,2386.67,8,41
1871,2024-11-29,Fixed Deposit,53155.94,1,1
1954,2023-12-27,Current Account,85717.73,4,15
1581,2024-10-04,Mutual Fund,24607.87,14,39
1930,2025-01-06,Credit Card,61778.34,3,24
1371,2023-05-14,Mutual Fund,31650.8,7,29
1334,2023-05-30,Personal Loan,31198.74,7,39
1928,2024-01-13,Fixed Deposit,92045.55,14,37
1500,2023-09-16,Savings Account,4726.09,6,25
1838,2024-03-08,Mortgage Loan,18183.45,8,44
1118,2024-04-29,Mutual Fund,86371.47,9,8
1513,2025-02-10,Current Account,12151.8,2,29
1376,2024-02-19,Fixed Deposit,66917.23,6,44
1641,2024-12-14,Personal Loan,6851.2,10,21
1558,2025-01-30,Savings Account,58330.26,11,38
1305,2024-12-21,Mortgage Loan,63404.95,12,2
1281,2025-01-21,Credit Card,84275.31,7,30
1435,2023-02-26,Current Account,9928.25,13,10
1425,2024-01-23,Savings Account,88171.1,14,12
1815,2023-08-12,Mutual Fund,18682.49,11,24
1811,2023-08-23,Mutual Fund,55392.88,11,33
1754,2024-09-04,Credit Card,43704.95,12,4
1979,2023-10-13,Savings Account,98108.87,4,40
1803,2023-02-12,Mutual Fund,30820.75,6,31
1674,2024-05-13,Car Loan,90747.52,6,41
1694,2023-07-07,Mutual Fund,53402.85,14,5
1537,2023-06-03,Mutual Fund,32453.8,2,3
1860,2023-08-26,Savings Account,69768.98,6,14
1980,2023-06-04,Credit Card,82553.95,1,11
1617,2023-08-28,Personal Loan,46615.79,1,22
1698,2024-07-31,Personal Loan,63346.78,14,8
1567,2024-12-20,Mortgage Loan,58750.05,5,2
1245,2024-11-29,Fixed Deposit,48948.58,7,46
1879,2024-11-09,Fixed Deposit,30882.41,3,40
1511,2024-12-09,Personal Loan,75138.93,1,4
1815,2023-11-20,Current Account,46382.43,6,40
1362,2023-11-27,Savings Account,53414.13,4,16
1048,2024-06-25,Credit Card,75218.62,8,16
1225,2024-07-06,Personal Loan,27236.53,10,10
1900,2023-04-30,Mortgage Loan,35659.53,13,29
1129,2023-11-16,Mortgage Loan,53123.06,4,47
1577,2023-06-12,Current Account,47659.68,14,48
1372,2023-06-10,Credit Card,43235.86,11,18
1593,2023-12-27,Mortgage Loan,57297.82,11,37
1289,2023-03-05,Personal Loan,12465.67,13,11
1118,2024-02-11,Fixed Deposit,35926.12,8,45
1440,2023-07-25,Personal Loan,21081.06,1,27
1632,2024-02-22,Car Loan,11343.53,8,12
1056,2024-07-14,Mutual Fund,80802.45,12,30
1371,2024-01-23,Car Loan,11830.37,14,13
1818,2024-08-17,Current Account,9904.82,6,43
1493,2025-01-20,Savings Account,81033.27,4,23
1404,2024-11-25,Personal Loan,66364.58,7,38
1432,2023-08-03,Current Account,12788.57,11,7
1041,2023-06-28,Car Loan,70918.13,8,30
1748,2024-11-24,Car Loan,72593.02,4,33
1000,2023-05-08,Car Loan,71448.26,8,10
1092,2023-09-13,Mutual Fund,55248.59,10,42
1005,2023-02-13,Credit Card,90150.8,10,38
1395,2024-06-21,Credit Card,59534.53,10,26
1700,2024-11-13,Current Account,20285.97,14,40
1520,2024-12-10,Fixed Deposit,97150.06,3,2
1183,2024-08-04,Car Loan,90100.01,6,28
1178,2024-01-22,Car Loan,61653.59,12,49
1685,2023-04-30,Mortgage Loan,25134.9,8,27
1224,2024-05-19,Savings Account,5413.85,11,47
1946,2024-12-25,Mortgage Loan,99879.86,3,44
1429,2023-07-07,Personal Loan,82876.02,14,46
1347,2024-07-31,Fixed Deposit,65954.35,8,32
1456,2023-07-15,Mutual Fund,19052.2,5,26
1523,2023-09-27,Credit Card,5873.16,7,44
1348,2024-01-10,Current Account,14934.5,12,11
1075,2023-06-13,Mutual Fund,19824.23,5,12
1832,2024-03-08,Credit Card,89298.43,14,29
1279,2023-06-30,Mortgage Loan,45437.45,10,22
1827,2023-12-02,Savings Account,42137.23,1,28
1537,2023-05-31,Savings Account,19771.93,10,18
1625,2024-09-13,Current Account,30333.81,5,35
1246,2023-10-10,Mutual Fund,25693.46,5,32
1435,2023-12-10,Personal Loan,62848.42,3,15
1645,2023-05-21,Mutual Fund,23963.14,1,8
1153,2024-03-02,Savings Account,98910.82,12,31
1293,2024-01-10,Current Account,25222.11,7,33
1542,2023-08-08,Mutual Fund,26487.98,14,13
1205,2023-02-21,Mutual Fund,12891.71,2,2
1038,2023-12-23,Personal Loan,12766.67,7,24
1236,2023-03-30,Credit Card,24306.62,4,40
1960,2024-10-12,Personal Loan,74282.9,9,2
1104,2023-12-14,Personal Loan,95352.48,11,20
1920,2023-04-27,Fixed Deposit,15694.95,14,38
1887,2024-05-04,Current Account,38889.34,9,40
1127,2024-11-17,Fixed Deposit,16245.18,5,43
1485,2023-07-27,Current Account,38078.74,14,30
1680,2023-12-03,Mortgage Loan,84670.76,12,4
1681,2023-05-01,Fixed Deposit,2156.0,3,12
1962,2024-08-03,Car Loan,15245.52,5,40
1097,2023-10-03,Fixed Deposit,96101.13,12,14
1705,2024-09-28,Car Loan,6213.05,11,22
1945,2024-05-16,Car Loan,7969.83,2,37
1881,2023-03-19,Car Loan,41796.25,9,12
1022,2025-01-17,Mutual Fund,1977.71,3,16
1922,2024-01-27,Savings Account,46895.48,12,6
1745,2023-12-31,Current Account,88143.24,13,15
1018,2024-04-15,Personal Loan,93783.02,5,1
1524,2024-10-14,Personal Loan,28472.96,1,38
1279,2023-08-01,Fixed Deposit,44211.86,9,43
1280,2025-01-31,Mortgage Loan,1461.4,7,48
1058,2023-06-30,Savings Account,75079.97,6,10
1635,2025-02-04,Mutual Fund,30599.57,5,32
1035,2023-04-06,Car Loan,56014.75,13,39
1712,2024-09-27,Car Loan,23523.93,13,12
1726,2023-10-25,Car Loan,46927.31,8,1
1621,2024-05-05,Mutual Fund,50059.2,1,34
1129,2024-10-12,Credit Card,9016.42,8,42
1460,2023-07-04,Current Account,65328.23,13,8
1328,2024-12-05,Mutual Fund,67227.76,7,5
1701,2024-06-15,Current Account,26445.25,14,45
1170,2023-03-27,Personal Loan,35848.49,6,18
1915,2024-09-23,Current Account,78851.25,7,37
1248,2023-04-17,Car Loan,96406.75,11,2
1098,2024-01-03,Personal Loan,11334.12,5,32
1967,2024-06-15,Car Loan,69858.9,14,17
1418,2023-10-17,Personal Loan,31942.47,13,45
1160,2024-08-06,Fixed Deposit,93092.93,6,14
1941,2023-11-29,Mortgage Loan,36538.92,14,16
1434,2024-05-01,Current Account,33387.92,3,47
1936,2024-10-29,Car Loan,58000.85,4,17
1949,2024-07-30,Mortgage Loan,43439.56,7,30
1105,2024-01-04,Current Account,45120.62,14,31
1003,2023-09-17,Car Loan,75918.49,13,11
1955,2023-03-14,Current Account,70268.49,2,12
1222,2024-10-12,Car Loan,33034.97,9,16
1148,2024-07-29,Mortgage Loan,63928.02,6,41
1889,2025-02-06,Mutual Fund,39382.03,2,23
1898,2024-03-21,Personal Loan,63356.91,13,5
1285,2024-04-20,Personal Loan,33875.03,12,13
1822,2023-07-21,Personal Loan,98977.19,4,33
1697,2024-10-26,Mortgage Loan,55001.86,2,40
1961,2024-01-15,Mortgage Loan,59545.81,2,39
1792,2023-08-19,Personal Loan,35245.55,7,27
1172,2024-02-19,Credit Card,24006.39,2,21
1966,2024-02-29,Mortgage Loan,80540.52,14,26
1052,2024-04-17,Mortgage Loan,29666.87,3,27
1046,2024-09-10,Credit Card,31531.89,1,30
1347,2024-06-07,Savings Account,31184.96,8,43
1600,2024-04-17,Personal Loan,13631.39,1,17
1462,2023-08-09,Personal Loan,58964.84,10,32
1081,2023-11-03,Credit Card,937.01,1,21
1973,2024-12-10,Mortgage Loan,69658.75,3,29
1998,2024-07-02,Credit Card,67200.32,5,26
1682,2024-04-05,Mutual Fund,49177.87,2,42
1946,2024-05-22,Mutual Fund,53925.48,1,47
1581,2024-08-07,Personal Loan,15282.37,11,41
1681,2024-09-12,Credit Card,38584.1,10,27
1122,2024-10-16,Car Loan,64905.52,2,21
1268,2023-07-06,Fixed Deposit,4588.4,5,42
1174,2023-06-28,Fixed Deposit,23793.51,11,29
